varietats,pais_origen,regions_utilitzen,regions_noms,tonalitats_1,tonalitats_2,tonalitats_3,tonalitats_4,tonalitats_5
Cabernet Sauvignon,France,155,"Trás-os-Montes, Bairrada, Algarve, Alicante, Almansa, Arlanza, Binissalem-Mallorca, Bullas, Calatayud, Campo de Borja, Cariñena, Conca de Barberá, Costers del Segre, Empordá, Jumilla, La Mancha, Malaga, Manchuela, Méntrida, Mondéjar, Montsant, Navarra, Penedés, Pla de Bages, Pla de Llevant, Priorat, Ribera del Duero, Ribera del Guadiana, Ribera del Júcar, Tarragona, Tierra del Vino de Zamora, Uclés, Utiel-Requena, Valdepeñas, Valencia, Güimar Valley, Madrid, Yecla, Margaux, Médoc, Pauillac, Pays d'Oc, Basilicata, Friuli-Venezia-Giulia, Lazio, Lombardy, Molise, Veneto, Baden, Burgenland, Lower Austria, Pannonia Superior Borrégió, Balatoni Borrégió, Pannon Borrégió, Duna Borrégió, Észak-Magyarországi Borrégió, Grecia Central (Central Grecia), Pokuplje, Moslavina, Prigorje – Bilogora, Slavonia, Podunavlje (Danube), Hrvatska Istra (Istria), Hrvatsko Primorje (Primorje), Dalmatinska Zagora (Dalmatian Hinterland), Srednja i Južna Dalmacija (Central and South Dalmatia), Valaquia (Wallachia), Moldavia, Dobruja (Dobrogea), Struma Valley, Thracian Valley, Rose Valley, Black Sea, Danubian Plain, British Columbia, Ontario, California, Oregon, Washington, Massachusetts, Baja Norte (Baja California), Sonora, Durango, Coahuila, Zacatecas, Aguascalientes, Querétaro, Vale do São Francisco, Planalto Catarinense, Serra Gaúcha, Campanha Gaúcha, Canelones, Colonia, Rivera, Salto, Montevideo, Ica, Lima, Moquegua, Arequipa, Valle del Elqui, Valle del Choapa, Valle del Aconcagua, Valle del Maipo, Valle del Cachapoal, Valle de Colchagua, Marchigüe, Lolol, Valle del Curicó, Valle del Maule, Valle del Itata, Salta, Tucumán, Catamarca, La Rioja, San Juan, Mendoza, La Pampa, Western Australia, South Australia, Victoria, New South Wales, Tasmania, Granite Belt, Hawke’s Bay, Waikato, Auckland, Northland, Breedekloof, Robertson, Worcester, Overberg, Walker Bay, Swellendam, Stellenbosch, Paarl, Swartland, Darling, Tulbagh, Wellington, Tygerberg, Constantia, Franschhoek Valley, Klein Karoo, Calitzdorp, Langeberg-Garcia, Olifants River, Batroun, Central Bekaa, The West Bekaa, Baabda-Aley, Keserwan, Metn, Chouf, Jezzine",Blackcurrant, Cedar, Tobacco,,
Merlot,France,142,"Bairrada, Alella, Alicante, Almansa, Arlanza, Binissalem-Mallorca, Bullas, Calatayud, Campo de Borja, Cariñena, Conca de Barberá, Costers del Segre, Empordá, Jumilla, Malaga, Manchuela, Méntrida, Mondéjar, Montsant, Navarra, Penedés, Pla de Bages, Pla de Llevant, Priorat, Ribera del Duero, Ribera del Guadiana, Ribera del Júcar, Tarragona, Tierra del Vino de Zamora, Uclés, Utiel-Requena, Valdepeñas, Güimar Valley, Madrid, Yecla, Limoux, Pomerol, Saint-Émilion, Margaux, Médoc, Pauillac, Pays d'Oc, Comté-Tolosan, Basilicata, Friuli-Venezia-Giulia, Lazio, Lombardy, Molise, Veneto, Baden, Burgenland, Lower Austria, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió, Grecia Central (Central Grecia), Pokuplje, Moslavina, Prigorje – Bilogora, Slavonia, Podunavlje (Danube), Hrvatska Istra (Istria), Hrvatsko Primorje (Primorje), Sjeverna Dalmacija (North Dalmatia), Dalmatinska Zagora (Dalmatian Hinterland), Srednja i Južna Dalmacija (Central and South Dalmatia), Transilvania (Transylvania), Valaquia (Wallachia), Moldavia, Dobruja (Dobrogea), Struma Valley, Thracian Valley, Rose Valley, Black Sea, Danubian Plain, British Columbia, Ontario, California, Oregon, Washington, Pennsylvania, Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro, Planalto Catarinense, Campos de Cima da Serra, Serra Gaúcha, Serra do Sudeste, Canelones, San José, Colonia, Salto, Montevideo, Ica, Lima, Moquegua, Arequipa, Valle del Elqui, Valle del Aconcagua, Valle del Maipo, Valle del Cachapoal, Valle del Curicó, Valle del Maule, Salta, La Rioja, San Juan, Mendoza, La Pampa, Río Negro, Western Australia, South Australia, Victoria, Tasmania, Granite Belt, Hawke’s Bay, Gisborne, Waikato, Auckland, Northland, Robertson, Worcester, Stellenbosch, Paarl, Swartland, Tulbagh, Wellington, Franschhoek Valley, Klein Karoo, Calitzdorp, Langeberg-Garcia, Olifants River, Batroun, Central Bekaa, The West Bekaa, Baabda-Aley, Keserwan, Metn, Chouf, Jezzine",Plum, Blackberry, Earthy,,
Syrah,France,100,"Bairrada, Algarve, Alicante, Almansa, Binissalem-Mallorca, Bullas, Calatayud, Campo de Borja, Cariñena, Conca de Barberá, Costers del Segre, Empordá, Jumilla, La Mancha, Malaga, Manchuela, Méntrida, Mondéjar, Montsant, Navarra, Penedés, Pla de Bages, Pla de Llevant, Priorat, Ribera del Guadiana, Ribera del Júcar, Tarragona, Terra Alta, Tierra del Vino de Zamora, Uclés, Utiel-Requena, Valdepeñas, Güimar Valley, Madrid, Yecla, Hermitage, Côtes du Rhône, Châteauneuf-du-Pape, Côtes de Provence, Minervois, Limoux, Saint-Joseph, Côte-Rôtie, Pays d'Oc, Duché d'Uzès, Burgenland, Lower Austria, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió, Grecia Central (Central Grecia), Sjeverna Dalmacija (North Dalmatia), Rose Valley, British Columbia, California, Oregon, Washington, Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro, Vale do São Francisco, Campanha Gaúcha, Canelones, Ica, Lima, Moquegua, Arequipa, Valle del Elqui, Valle del Limarí, Valle del Choapa, Valle del Aconcagua, Valle de Casablanca, Valle de San Antonio, Valle del Maipo, Valle del Cachapoal, Valle de Colchagua, Marchigüe, Lolol, Valle del Curicó, Valle del Maule, Valle del Itata, Catamarca, La Rioja, San Juan, Mendoza, Central Otago, Hawke’s Bay, Gisborne, Waikato, Auckland, Northland, Batroun, Baabda-Aley, Keserwan, Metn, Chouf, Jezzine",Blackberry, Pepper, Smoke,,
Pinot Noir,France,90,"Cava, Malaga, Güimar Valley, Champagne, Alsace AOC, Alsace Grand Cru AOC, Crémant d'Alsace AOC, Sancerre, Meursault, Côtes d'Auxerre, Friuli-Venezia-Giulia, Lombardy, Molise, Trentino-Alto-Adige, Ahr, Baden, Württemberg, Pfalz, Rheinhessen, Nahe, Mosel, Rheingau, Franken (Franconia), Hessische Bergstrasse, Mittelrhein, Saale-Unstrut, Sachsen (Saxony), Styria, Burgenland, Lower Austria, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió, Plešivica, Slavonia, Podunavlje (Danube), Transilvania (Transylvania), Valaquia (Wallachia), Dobruja (Dobrogea), Black Sea, British Columbia, Quebec, Ontario, Nova Scotia, California, Oregon, Washington, Pennsylvania, Connecticut, Massachusetts, Baja Norte (Baja California), Sonora, Durango, Coahuila, Zacatecas, Aguascalientes, Querétaro, Planalto Catarinense, Campos de Cima da Serra, Serra Gaúcha, Serra do Sudeste, San José, Rivera, Valle del Aconcagua, Valle de Casablanca, Valle de San Antonio, Valle del Maule, Valle del Itata, Valle del Biobío, Valle del Malleco, Río Negro, Western Australia, South Australia, Victoria, New South Wales, Tasmania, Central Otago, Canterbury, Nelson, Marlborough, Waipara, Cape Agulhas, Overberg, Plettenberg Bay, Walker Bay, Elgin, Swellendam, Darling, Tygerberg, Batroun",Cherry, Earthy, Spicy,,
Tempranillo,Espanya,58,"Porto and Douro, Bairrada, Beira Interior, Tejo, Açores, Alella, Alicante, Arlanza, Bierzo, Bullas, Calatayud, Campo de Borja, Cariñena, Catalonia, Cigales, Conca de Barberá, Costers del Segre, Empordá, Jumilla, La Mancha, Malaga, Manchuela, Méntrida, Mondéjar, Monterrei, Montsant, Navarra, Penedés, Pla de Bages, Ribeira Sacra, Ribera del Duero, Ribera del Guadiana, Ribera del Júcar, Rioja, Tarragona, Tierra de León, Tierra del Vino de Zamora, Uclés, Utiel-Requena, Valdeorras, Valdepeñas, Valencia, Güimar Valley, Madrid, Yecla, Oregon, Baja Norte (Baja California), Sonora, Durango, Coahuila, Zacatecas, Aguascalientes, Querétaro, Vale do São Francisco, Campanha Gaúcha, Mendoza, South Australia, New South Wales",Cherry, Leather, Tobacco,,
Garnacha,Espanya,52,"Alicante, Almansa, Arlanza, Bierzo, Calatayud, Campo de Borja, Cariñena, Catalonia, Cava, Cigales, Conca de Barberá, Costers del Segre, Empordá, La Mancha, Malaga, Méntrida, Montsant, Navarra, Penedés, Pla de Bages, Priorat, Ribera del Duero, Ribera del Guadiana, Rioja, Tarragona, Terra Alta, Tierra del Vino de Zamora, Toro, Uclés, Valdeorras, Valencia, Madrid, Côtes du Rhône, Châteauneuf-du-Pape, Côtes de Provence, Minervois, Duché d'Uzès, California, Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro, Ica, Lima, Moquegua, Arequipa, Valle del Elqui, South Australia, Central Bekaa, The West Bekaa",Red fruit, Floral, Herbal,,
Cabernet Franc,France,44,"Malaga, Pomerol, Saint-Émilion, Val de Loire, Friuli-Venezia-Giulia, Lombardy, Burgenland, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió, Grecia Central (Central Grecia), British Columbia, Quebec, Ontario, California, Washington, Pennsylvania, Connecticut, Baja Norte (Baja California), Sonora, Coahuila, Zacatecas, Aguascalientes, Serra Gaúcha, Serra do Sudeste, Canelones, San José, Rivera, Montevideo, Valle de Colchagua, Marchigüe, Lolol, Valle del Maule, Valle del Itata, Tucumán, La Pampa, South Australia, Tasmania, Stellenbosch, Paarl, Tulbagh, Wellington, Franschhoek Valley, Batroun",Black cherry, Herbal, Tobacco,,
Malbec,France,35,"Malaga, Ribera del Duero, Cahors, California, Washington, Baja Norte (Baja California), Coahuila, Zacatecas, Aguascalientes, Querétaro, Planalto Catarinense, Ica, Lima, Moquegua, Arequipa, Valle del Elqui, Valle de Colchagua, Marchigüe, Lolol, Valle del Curicó, Salta, Tucumán, Catamarca, La Rioja, San Juan, Mendoza, La Pampa, Río Negro, South Australia, Victoria, Stellenbosch, Paarl, Tulbagh, Wellington, Franschhoek Valley",Black cherry, Chocolate, Plum,,
Shiraz,Australia,29,"Coahuila, Western Australia, South Australia, Victoria, New South Wales, South Burnett, Granite Belt, Breedekloof, Robertson, Worcester, Cape Agulhas, Overberg, Plettenberg Bay, Walker Bay, Elgin, Swellendam, Stellenbosch, Paarl, Swartland, Darling, Tulbagh, Wellington, Tygerberg, Constantia, Franschhoek Valley, Klein Karoo, Calitzdorp, Langeberg-Garcia, Olifants River",Blackberry, Pepper, Smoke,,
Cariñena,Espanya,22,"Catalonia, Empordá, Montsant, Priorat, Terra Alta, Minervois, Sardinia (Sardegna), Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro, Valle del Maule, Valle del Itata, Central Bekaa, The West Bekaa, Baabda-Aley, Keserwan, Metn, Chouf, Jezzine",Blackberry, Herbal, Spicy,,
Touriga Nacional,Portugal,18,"Trás-os-Montes, Porto and Douro, Dão and Lafões, Bairrada, Beira Interior, Lisboa, Tejo, Península de Setúbal, Alentejo, Açores, Vale do São Francisco, Serra do Sudeste, Campanha Gaúcha, Ica, Lima, Moquegua, Arequipa, Valle del Elqui",Blackberry, Violet, Herbal,,
Petit Verdot,France,17,"Almansa, Arlanza, La Mancha, Malaga, Méntrida, California, Baja Norte (Baja California), Valle de Colchagua, Marchigüe, Lolol, South Australia, Victoria, Stellenbosch, Paarl, Tulbagh, Wellington, Franschhoek Valley",Blackberry, Licorice, Black pepper,,
Tannat,France,17,"Comté-Tolosan, Serra Gaúcha, Serra do Sudeste, Campanha Gaúcha, Canelones, San José, Colonia, Rivera, Salto, Montevideo, Maldonado, Ica, Lima, Moquegua, Arequipa, Valle del Elqui, Salta",Blackberry, Leather, Tobacco,,
Lemberger,Alemanya,16,"Württemberg, Styria, Burgenland, Lower Austria, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió, Pokuplje, Moslavina, Prigorje – Bilogora, Slavonia, Podunavlje (Danube), Hrvatska Istra (Istria), Hrvatsko Primorje (Primorje), Dalmatinska Zagora (Dalmatian Hinterland), Srednja i Južna Dalmacija (Central and South Dalmatia)",Blackberry, Cherry, Herbal,,
Mourvèdre,Espanya,16,"Côtes du Rhône, Châteauneuf-du-Pape, Côtes de Provence, California, Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro, Batroun, Baabda-Aley, Keserwan, Metn, Chouf, Jezzine",Blackberry, Leather, Herbal,,
Portugieser,Alemanya,16,"Ahr, Pfalz, Rheinhessen, Nahe, Mosel, Rheingau, Franken (Franconia), Hessische Bergstrasse, Mittelrhein, Saale-Unstrut, Sachsen (Saxony), Burgenland, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió, Plešivica",Cherry, Raspberry, Herbal,,
