varietats,pais_origen,regions_utilitzen,regions_noms,tonalitats_1,tonalitats_2,tonalitats_3,tonalitats_4,tonalitats_5
Carménère,Xile,14,"California, Baja Norte (Baja California), Ica, Lima, Moquegua, Arequipa, Valle del Elqui, Valle del Limarí, Valle del Maipo, Valle del Cachapoal, Valle de Colchagua, Marchigüe, Lolol, Valle del Curicó",Blackberry, Green bell pepper, Herbal,,
Sangiovese,Italia,14,"Basilicata, Emilia-Romagna, Lazio, Marche, Molise, Umbria, Tuscany (Toscana), Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro, South Burnett",Cherry, Tomato, Leather,,
Pinotage,South Africa,13,"Breedekloof, Robertson, Worcester, Stellenbosch, Paarl, Swartland, Tulbagh, Wellington, Constantia, Franschhoek Valley, Klein Karoo, Calitzdorp, Langeberg-Garcia",Plum, Banana, Tobacco,,
Zweigelt,Austria,13,"Styria, Burgenland, Lower Austria, Pannonia Superior Borrégió, Balatoni Borrégió, Pannon Borrégió, Duna Borrégió, Észak-Magyarországi Borrégió, Pokuplje, Moslavina, Prigorje – Bilogora, Slavonia, Podunavlje (Danube)",Cherry, Raspberry, Herbal,,
Monastrell,Espanya,12,"Alicante, Almansa, Bullas, Catalonia, Cava, Jumilla, La Mancha, Malaga, Manchuela, Ribera del Guadiana, Valencia, Yecla",Blackberry, Plum, Herbal,,
Dornfelder,Alemanya,11,"Ahr, Pfalz, Rheinhessen, Nahe, Mosel, Rheingau, Franken (Franconia), Hessische Bergstrasse, Mittelrhein, Saale-Unstrut, Sachsen (Saxony)",Blackberry, Cherry, Herbal,,
Alicante Bouschet,France,10,"Porto and Douro, Alentejo, La Mancha, Vale do São Francisco, Serra do Sudeste, Ica, Lima, Moquegua, Arequipa, Valle del Elqui",Blackberry, Plum, Herbal,,
Montepulciano,Italia,10,"Abruzzo, Basilicata, Marche, Molise, Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro",Black cherry, Plum, Herbal,,
Gamay Noir,France,9,"Beaujolais, Brouilly, Saint-Amour, Fleurie, Val de Loire, British Columbia, Ontario, Nova Scotia, Oregon",Strawberry, Raspberry, Floral,,
Cinsault,France,8,"Côtes de Provence, Valle del Maule, Valle del Itata, Valle del Biobío, Valle del Malleco, Batroun, Central Bekaa, The West Bekaa",Strawberry, Raspberry, Herbal,,
Nebbiolo,Italia,8,"Lombardy, Piedmont, Aosta Valley (Valle d'Aosta), Baja Norte (Baja California), Sonora, Durango, Zacatecas, Canelones",Cherry, Rose, Tar,,
Petit Sirah,France,8,"California, Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro, Vale do São Francisco",Blackberry, Blueberry, Pepper,,
Ruby Cabernet,Estats_Units,8,"Güimar Valley, Baja Norte (Baja California), Sonora, Durango, Coahuila, Zacatecas, Aguascalientes, Querétaro",Blackberry, Plum, Herbal,,
Zinfandel,Estats_Units,8,"California, Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro, Canelones",Blackberry, Raspberry, Pepper,,
Mencía,Espanya,7,"Arlanza, Arribes, Bierzo, Monterrei, Ribeira Sacra, Tierra de León, Valdeorras",Blackberry, Cherry, Herbal,,
Castel,France,6,"Lisboa, Tejo, Península de Setúbal, Alentejo, Algarve, Nova Scotia",Blackberry, Plum, Herbal,,
Listan Prieto,Espanya,6,"Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro",Blackberry, Cherry, Herbal,,
Palomino,Espanya,6,"Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro",Floral, Citrus, Herbal,,
Rosa del Peru,Peru,6,"Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro",Blackberry, Cherry, Herbal,,
St. Laurent,Austria,6,"Styria, Burgenland, Lower Austria, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió",Blackberry, Cherry, Herbal,,
Trincadeira,Portugal,6,"Trás-os-Montes, Lisboa, Tejo, Península de Setúbal, Alentejo, Algarve",Blackberry, Plum, Herbal,,
Trousseau Gris,France,6,"Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro",Strawberry, Raspberry, Herbal,,
Baco Noir,France,5,"Quebec, Ontario, Nova Scotia, Pennsylvania, Connecticut",Blackberry, Cherry, Herbal,,
Bonarda,Argentina,5,"Emilia-Romagna, Lombardy, La Rioja, San Juan, Mendoza",Blackberry, Plum, Herbal,,
Listán Negro,Espanya,5,"Abona, Tacoronte-Acentejo, Güimar Valley, Orotava Valley, Ycoden-Daute-Isora",Blackberry, Cherry, Herbal,,
Mollar,Espanya,5,"Ica, Lima, Moquegua, Arequipa, Valle del Elqui",Blackberry, Cherry, Herbal,,
Negra Criolla,Argentina,5,"Ica, Lima, Moquegua, Arequipa, Valle del Elqui",Blackberry, Cherry, Herbal,,
Negramoll,Espanya,5,"Abona, Tacoronte-Acentejo, Güimar Valley, Orotava Valley, Ycoden-Daute-Isora",Blackberry, Cherry, Herbal,,
Quebranta,Peru,5,"Ica, Lima, Moquegua, Arequipa, Valle del Elqui",Blackberry, Cherry, Herbal,,
Torontel,Espanya,5,"Ica, Lima, Moquegua, Arequipa, Valle del Elqui",Blackberry, Cherry, Herbal,,
Uvina,Espanya,5,"Ica, Lima, Moquegua, Arequipa, Valle del Elqui",Blackberry, Cherry, Herbal,,
Aragonês,Portugal,4,"Dão and Lafões, Península de Setúbal, Açores, Vale do São Francisco",Blackberry, Cherry, Herbal,,
Avgoustiatis,Grecia,4,"Egeo Meridional (South Aegean), Egeo Septentrional (North Aegean), Islas Jónicas (Ionian Islands), Peloponeso (Peloponnese)",Blackberry, Cherry, Herbal,,
Blauer Portugieser,Alemanya,4,"Burgenland, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió",Cherry, Raspberry, Herbal,,
Graciano,Espanya,4,"Malaga, Méntrida, Navarra, Rioja",Blackberry, Cherry, Herbal,,
Rathay,Austria,4,"Burgenland, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió",Blackberry, Cherry, Herbal,,
Roesler,Austria,4,"Burgenland, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió",Blackberry, Cherry, Herbal,,
Rose muscatel,France,4,"Burgenland, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió",Muscat, Floral, Honeyed,,
Touriga Franca,Portugal,4,"Trás-os-Montes, Porto and Douro, Lisboa, Península de Setúbal",Blackberry, Violet, Herbal,,
Xinomavro,Grecia,4,"Epiro (Epirus), Macedonia Central (Central Macedonia), Macedonia Occidental (Western Macedonia), Macedonia Oriental y Tracia (Eastern Macedonia and Thrace)",Blackberry, Cherry, Herbal,,
Aglianico,Italia,3,"Calabria, Campania, Molise",Blackberry, Cherry, Herbal,,
Barbera,Italia,3,"Lombardy, Piedmont, Vale do São Francisco",Cherry, Raspberry, Herbal,,
Bobal,Espanya,3,"La Mancha, Utiel-Requena, Valencia",Blackberry, Cherry, Herbal,,
Ciliegiolo,Italia,3,"Emilia-Romagna, Liguria, Tuscany (Toscana)",Cherry, Raspberry, Herbal,,
Frontenac Noir,Estats_Units,3,"Quebec, Pennsylvania, Connecticut",Blackberry, Cherry, Herbal,,
Mandilaria,Grecia,3,"Egeo Meridional (South Aegean), Egeo Septentrional (North Aegean), Grecia Central (Central Grecia)",Blackberry, Cherry, Herbal,,
Marquette,Estats_Units,3,"Quebec, Pennsylvania, Connecticut",Blackberry, Cherry, Herbal,,
Plavina,Croacia,3,"Sjeverna Dalmacija (North Dalmatia), Dalmatinska Zagora (Dalmatian Hinterland), Srednja i Južna Dalmacija (Central and South Dalmatia)",Blackberry, Cherry, Herbal,,
Rufete,Portugal,3,"Dão and Lafões, Beira Interior, Arribes",Blackberry, Cherry, Herbal,,
Sumoll,Espanya,3,"Catalonia, Penedés, Pla de Bages",Blackberry, Cherry, Herbal,,
Agiorgitiko,Grecia,2,"Grecia Occidental (Western Grecia), Peloponeso (Peloponnese)",Blackberry, Cherry, Herbal,,
Alfrocheiro,Portugal,2,"Dão and Lafões, Alentejo",Blackberry, Cherry, Herbal,,
Bastardo,Portugal,2,"Trás-os-Montes, Beira Interior",Blackberry, Cherry, Herbal,,
Brancellao,Espanya,2,"Monterrei, Ribeira Sacra",Blackberry, Cherry, Herbal,,
Callet,Espanya,2,"Binissalem-Mallorca, Pla de Llevant",Blackberry, Cherry, Herbal,,
Dimyat,Bulgaria,2,"Dobruja (Dobrogea), Black Sea",Blackberry, Cherry, Herbal,,
Dolcetto,Italia,2,"Liguria, Piedmont",Blackberry, Cherry, Herbal,,
Fetească Neagră,Romania,2,"Valaquia (Wallachia), Moldavia",Blackberry, Cherry, Herbal,,
Gamay Noir Noir,France,2,"British Columbia, Ontario",Strawberry, Raspberry, Floral,,
Kékfrankos,Hungria,2,"Balatoni Borrégió, Duna Borrégió",Blackberry, Cherry, Herbal,,
Manto Negro,Espanya,2,"Binissalem-Mallorca, Pla de Llevant",Blackberry, Cherry, Herbal,,
Marechal Foch,France,2,"Quebec, Nova Scotia",Blackberry, Cherry, Herbal,,
Marzemino,Italia,2,"Trentino-Alto-Adige, Veneto",Blackberry, Cherry, Herbal,,
Mavrodaphne,Grecia,2,"Grecia Occidental (Western Grecia), Peloponeso (Peloponnese)",Blackberry, Cherry, Herbal,,
Mavrud,Bulgaria,2,"Struma Valley, Thracian Valley",Blackberry, Cherry, Herbal,,
Muscat of Alexandria,Egypt,2,"Valle del Biobío, Valle del Malleco",Muscat, Floral, Citrus,,
Nero d'Avola,Italia,2,"Sicily (Sicilia), Canelones",Blackberry, Cherry, Herbal,,
País,Xile,2,"Valle del Maule, Valle del Itata",Blackberry, Cherry, Herbal,,
Pinot Meunier,France,2,"Champagne, Württemberg",Strawberry, Raspberry, Herbal,,
Primitivo,Italia,2,"Basilicata, Apulia (Puglia)",Blackberry, Raspberry, Pepper,,
Refosco dal Peduncolo Rosso,Italia,2,"Friuli-Venezia-Giulia, Veneto",Blackberry, Cherry, Herbal,,
Rubin,Bulgaria,2,"Struma Valley, Thracian Valley",Blackberry, Cherry, Herbal,,
Sousón,Espanya,2,"Monterrei, Ribeira Sacra",Blackberry, Cherry, Herbal,,
Tintilla,Espanya,2,"Malaga, Orotava Valley",Blackberry, Cherry, Herbal,,
Aleatico,,1,Tuscany (Toscana),,,,,
Alvarelhão,,1,Vinho Verde,,,,,
Babić,,1,Sjeverna Dalmacija (North Dalmatia),,,,,
Baga,,1,Bairrada,,,,,
Bastardillo Chico,,1,Arribes,,,,,
Borraçal,,1,Vinho Verde,,,,,
Bovale Sardo,,1,Sardinia (Sardegna),,,,,
Brachetto,,1,Piedmont,,,,,
Bruñal,,1,Arribes,,,,,
Burgund Mare,,1,Valaquia (Wallachia),,,,,
Băbească Neagră,,1,Moldavia,,,,,
Cadarca,,1,Transilvania (Transylvania),,,,,
Caladoc,,1,Coahuila,,,,,
Canaiolo Nero,,1,Tuscany (Toscana),,,,,
Cannonau,,1,Sardinia (Sardegna),,,,,
Cencibel,,1,Almansa,,,,,
Cereza,,1,Catamarca,,,,,
Cesanese,,1,Lazio,,,,,
Chambourcin,,1,Pennsylvania,,,,,
Chardonnay,,1,Connecticut,,,,,
Chenin Blanc,,1,South Australia,,,,,
Colorino,,1,Tuscany (Toscana),,,,,
Concord,,1,Massachusetts,,,,,
Cornalin,,1,Aosta Valley (Valle d'Aosta),,,,,
Corvina,,1,Veneto,,,,,
Frappato,,1,Sicily (Sicilia),,,,,
Freisa,,1,Piedmont,,,,,
Frontenac Noir Noir,,1,Quebec,,,,,
Fumin,,1,Aosta Valley (Valle d'Aosta),,,,,
Gaglioppo,,1,Calabria,,,,,
Gajo Arroba,,1,Arribes,,,,,
GrecoNero,,1,Calabria,,,,,
Grignolino,,1,Piedmont,,,,,
Jaen,,1,Dão and Lafões,,,,,
Juan García,,1,Arribes,,,,,
Kadarka,,1,Danubian Plain,,,,,
Kotsifali,,1,Creta (Crete),,,,,
Lacrima,,1,Marche,,,,,
Lagrein,,1,Trentino-Alto-Adige,,,,,
Lambrusco,,1,Emilia-Romagna,,,,,
Lasina,,1,Sjeverna Dalmacija (North Dalmatia),,,,,
Leon Millot,,1,Nova Scotia,,,,,
Liatiko,,1,Creta (Crete),,,,,
Limniona,,1,Tesalia (Thessaly),,,,,
Lucie Kuhlmann,,1,Nova Scotia,,,,,
Magliocco,,1,Calabria,,,,,
Malbo Gentile,,1,Emilia-Romagna,,,,,
Mandón,,1,Arribes,,,,,
Mantilari,,1,Creta (Crete),,,,,
Marselan,,1,Querétaro,,,,,
Marufo,,1,Beira Interior,,,,,
Maréchal Foch,,1,Massachusetts,,,,,
Mayolet,,1,Aosta Valley (Valle d'Aosta),,,,,
Mazuelo,,1,Rioja,,,,,
Molinara,,1,Veneto,,,,,
Monica,,1,Sardinia (Sardegna),,,,,
Moreto,,1,Alentejo,,,,,
Mouchtaro,,1,Grecia Central (Central Grecia),,,,,
Negra Mole,,1,Algarve,,,,,
Negroamaro,,1,Apulia (Puglia),,,,,
Nerello Mascalese,,1,Sicily (Sicilia),,,,,
Nielluccio,,1,Vin de Corse,,,,,
Pedral,,1,Vinho Verde,,,,,
Periquita,,1,Alentejo,,,,,
Perricone,,1,Sicily (Sicilia),,,,,
Petit Pearl,,1,Quebec,,,,,
Petit Rouge,,1,Aosta Valley (Valle d'Aosta),,,,,
Piedirosso,,1,Campania,,,,,
Plavac Mali,,1,Srednja i Južna Dalmacija (Central and South Dalmatia),,,,,
Prieto Picudo,,1,Tierra de León,,,,,
Raboso,,1,Veneto,,,,,
Romeiko,,1,Creta (Crete),,,,,
Rondinella,,1,Veneto,,,,,
Rossese,,1,Liguria,,,,,
Roussin de Morgex ,,1,Aosta Valley (Valle d'Aosta),,,,,
Sagrantino,,1,Umbria,,,,,
Schioppettino,,1,Friuli-Venezia-Giulia,,,,,
Sciacarello,,1,Vin de Corse,,,,,
Susumaniello,,1,Apulia (Puglia),,,,,
Teran,,1,Hrvatska Istra (Istria),,,,,
Teroldego,,1,Trentino-Alto-Adige,,,,,
Tinta Barroca,,1,Porto and Douro,,,,,
Tinta Miúda,,1,Lisboa,,,,,
Tinta de Toro,,1,Toro,,,,,
Tinto Cão,,1,Porto and Douro,,,,,
Tinto Jeromo,,1,Arribes,,,,,
Trincadeira Preta,,1,Península de Setúbal,,,,,
Trnjak,,1,Dalmatinska Zagora (Dalmatian Hinterland),,,,,
Trollinger,,1,Württemberg,,,,,
Tsardana,,1,Creta (Crete),,,,,
Uva Tosca,,1,Emilia-Romagna,,,,,
Vernatsch,,1,Trentino-Alto-Adige,,,,,
Vijariego Negro,,1,Orotava Valley,,,,,
Vinhão,,1,Vinho Verde,,,,,
Vlachiko,,1,Epiro (Epirus),,,,,
Vranac,,1,Dalmatinska Zagora (Dalmatian Hinterland),,,,,
Vuillermin,,1,Aosta Valley (Valle d'Aosta),,,,,
Frühburgunder (Pinot Madeleine),,0,,,,,,
Lemberger (Lemberger),,0,,,,,,
Tribidrag (Crljenak),,0,,,,,,
